"rank","points","status","profile url","name","joined","gold medals","silver medals","bronze medals"
"878","85","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ironbar","ironbar","8 years ago","11","14","106"
"879","85","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rtatman","Rachael Tatman","5 years ago","12","12","579"
"880","85","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/karthikbhandary2","KARTHIK BHANDARY","5 years ago","1","2","90"
"881","85","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/barnwellguy","Buffalo Spdwy","5 years ago","11","9","99"
"882","85","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/arunpurakkatt","Arun Purakkatt","3 years ago","0","1","69"
"883","85","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aeryss","Long Luu","2 years ago","1","7","158"
"884","85","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alexmaszanski","Alex Mashanski","2 years ago","2","0","84"
"885","85","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mfaaris","M Faarisul Ilmi","a year ago","1","2","57"
"886","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/taffeylewis","Taffey Lewis","9 years ago","9","26","235"
"887","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nickycan","🐳鲲(China)","7 years ago","9","17","95"
"888","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/golubev","Vlad Golubev","5 years ago","10","7","110"
"889","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ryunosukeishizaki","Draconda","4 years ago","6","8","54"
"890","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jolasa","JasonX","3 years ago","7","28","137"
"891","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tarlannazarov","Tarlan Nazarov","2 years ago","1","7","60"
"892","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shaikhshoeb","shaikh shoeb","2 years ago","1","1","92"
"893","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ayessa","Ayessa","a year ago","1","0","72"
"894","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/azizozmen","Aziz Özmen","a year ago","0","0","114"
"895","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/suchighurka","Suchi Ghurka","a year ago","0","2","71"
"896","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sanya9","Sanya9","a year ago","0","0","69"
"897","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mayurdalvi","Mayur Dalvi","a year ago","0","1","122"
"898","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sathyakrishnan12","Sathya Krishnan12","9 months ago","0","1","98"
"899","84","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/abdurrakibmollah","Abdur Rakib Mollah","7 months ago","0","1","71"
"900","83","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/super13579","funkyboy","7 years ago","12","9","112"
"901","83","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yashvi","Yashvi Patel","5 years ago","1","3","69"
"902","83","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mrtgocer","Murat Gocer","4 years ago","0","1","217"
"903","83","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vanguarde","Daniil Karpov","2 years ago","1","1","86"
"904","83","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/owaiskhan9654","Owais Ahmad","2 years ago","0","0","73"
"905","82","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/zhangeng","zhangeng","4 years ago","1","3","123"
"906","82","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aroraaman","Aman Arora","4 years ago","3","5","83"
"907","82","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/muki2003","MUKILAN S","2 years ago","1","1","64"
"908","82","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/adinishad","Aditta Das Nishad","2 years ago","0","1","132"
"909","82","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mohamedmeqlad","mohamed meqlad","a year ago","1","0","71"
"910","82","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/antarachatterji","Antara Chatterji","a year ago","1","1","54"
"911","82","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mohinurabdurahimova","Mokhinur Abdurakhimova","a year ago","1","2","61"
"912","82","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shilongzhuang","Shi Long Zhuang","4 months ago","1","1","70"
"913","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/samusram","Raman","7 years ago","6","4","111"
"914","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tiandaye","Tian","6 years ago","1","5","99"
"915","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/stevenrferrer","Steven Ferrer","6 years ago","3","3","60"
"916","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/garybios","Gary","5 years ago","11","15","117"
"917","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rftexas","PAB97","5 years ago","7","12","105"
"918","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jassican","Jaswinder Singh","3 years ago","1","8","71"
"919","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lililycai","Swikwislkdj","3 years ago","7","4","39"
"920","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/landfallmotto","LandfallMotto","2 years ago","0","0","134"
"921","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/siddheshera","Siddhesh Sawant","2 years ago","0","3","196"
"922","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tanjimanasreenjenia","Tanjima Nasreen Jenia","2 years ago","0","1","124"
"923","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/anthonypm","AnthonyPM","2 years ago","0","1","94"
"924","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lucifierx","LucifierX","9 months ago","0","1","89"
"925","81","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sandragracenelson","Sandra Grace Nelson","9 months ago","0","2","53"
"926","80","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vivekam101","Vivek T V","8 years ago","0","0","230"
"927","80","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jarupula","Rakesh Jarupula","4 years ago","4","3","62"
"928","80","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/arti1117","Making TARS","3 years ago","0","0","79"
"929","80","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/durgancegaur","Durgance Gaur","2 years ago","1","1","89"
"930","80","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sparkyjunior","JINO ROHIT","2 years ago","0","2","151"
"931","80","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/l3llff","l3LlFF","2 years ago","1","1","65"
"932","80","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/namandhammi","Naman Sharma","9 months ago","0","1","72"
"933","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mathurinache","Mathurin Aché","11 years ago","2","6","53"
"934","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/seefun","seefun","6 years ago","8","6","90"
"935","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tonychenxyz","Gold Retriever","5 years ago","4","13","119"
"936","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lyakaap","lyakaap","5 years ago","4","6","44"
"937","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/phunghieu","Hieu Phung","4 years ago","5","3","220"
"938","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/amritvirsinghx","Amritvir Singh","4 years ago","1","6","224"
"939","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/umairaslam","Muhammad Umair Aslam","3 years ago","0","3","61"
"940","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/the0electronic0guy","Ajay Tibrewal","3 years ago","0","0","160"
"941","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/oneplustricks","Parth Chhabra","2 years ago","2","6","162"
"942","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/arunprathap","Arun P R","2 years ago","2","7","121"
"943","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/asarvazyan","Areg M. Sarvazyan","2 years ago","1","1","67"
"944","79","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/baekseungyun","L0Z1K","2 years ago","2","5","57"
"945","78","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sionek","Grzegorz Sionkowski","7 years ago","10","34","227"
"946","78","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/isaienkov","Kostiantyn Isaienkov","6 years ago","8","11","127"
"947","78","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/anshumoudgil","Solve for Fun","5 years ago","0","2","314"
"948","78","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/supplejade","supplejade","3 years ago","0","3","179"
"949","78","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/albeffe","Alberto Maria Falletta","2 years ago","1","32","164"
"950","78","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ateranq","Álvaro Terán Q.","9 months ago","1","1","54"
"951","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/claverru","Claudio Verdú Ruiz","4 years ago","7","6","81"
"952","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/joatom","Jo Tom","4 years ago","0","4","98"
"953","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/surendra01","KSurendra","3 years ago","0","1","76"
"954","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/marcovasquez","Marco Vasquez E","3 years ago","8","8","348"
"955","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tensorchoko","tensor choko","3 years ago","0","7","81"
"956","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rashikrahmanpritom","Rashik Rahman","2 years ago","2","6","89"
"957","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/watzisname","Vijay","2 years ago","1","5","134"
"958","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/somesh88","Somesh88","2 years ago","1","5","46"
"959","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/adityasharma01","Aditya Sharma","a year ago","0","5","75"
"960","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/boneacrabonjac","Kosta R","a year ago","3","2","77"
"961","77","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ishanmehta115","Ishan Mehta115","7 months ago","0","0","86"
"962","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jielu0728","Jie Lu","7 years ago","9","11","68"
"963","76","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/shujian","Shujian Liu","7 years ago","29","44","338"
"964","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mouafekmk","MXK","3 years ago","1","4","51"
"965","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hikmetsezen","Hikmet Sezen","2 years ago","1","4","83"
"966","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mohamedzayton","mohamed_zayton","2 years ago","0","0","176"
"967","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pavfedotov","Dspyt","2 years ago","2","2","55"
"968","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vuxxxx","Vu Huynh","2 years ago","2","6","51"
"969","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/abdulaziz04","Abdulaziz_04","2 years ago","1","1","51"
"970","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alexandrparkhomenko","Alex Parkhomenko","2 years ago","0","0","76"
"971","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sagarbapodara","Sagar Bapodara","a year ago","0","0","100"
"972","76","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/wassimchouchen","Wassim Chouchen","a year ago","0","0","107"
"973","75","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mzr2017","zr","5 years ago","4","1","49"
"974","75","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kaushiksuresh147","Kash","5 years ago","0","7","152"
"975","75","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/woshifym","Yimin","4 years ago","6","1","78"
"976","75","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yushg123","Ayush Goel","3 years ago","3","4","181"
"977","75","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aatiffraz","Aatif Fraz","3 years ago","3","2","78"
"978","75","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/laxmankusuma","laxman kusuma","3 years ago","0","2","128"
